X,Y,NUME,JUDET,JUDET_AUTO,POPULATIE_(in_2002),REGIUNE
26.78,46.2,Buciumi,Bacau,BC,1474,Nord-Est
26.68,46.21,Bogdanesti,Bacau,BC,2033,Nord-Est
26.75,46.2,Casin,Bacau,BC,2644,Nord-Est
26.93,46.18,Caiuti,Bacau,BC,1533,Nord-Est
26.99,46.14,Cotofanesti,Bacau,BC,1090,Nord-Est
26.69,46.15,Manastirea_Casin,Bacau,BC,3923,Nord-Est
26.62,46.21,Oituz,Bacau,BC,6461,Nord-Est
26.58,46.2,Ferestrau-Oituz,Bacau,BC,1036,Nord-Est
27.11,46.21,Sascut,Bacau,BC,2420,Nord-Est
27.14,46.2,Beresti,Bacau,BC,1435,Nord-Est
27.07,46.21,Pancesti,Bacau,BC,2998,Nord-Est
27.07,46.19,Sascut-Sat,Bacau,BC,2178,Nord-Est
27.09,46.13,Urechesti,Bacau,BC,1729,Nord-Est
27.16,45.21,Galbenu,Braila,BR,1114,Sud-Est
27.05,45.38,Ramnicu_Sarat,Buzau,BZ,41405,Sud-Est
27.14,45.25,Balaceanu,Buzau,BZ,1726,Sud-Est
26.78,45.34,Izvoru_Dulce,Buzau,BZ,1093,Sud-Est
26.78,45.36,Valea_Parului,Buzau,BZ,1276,Sud-Est
26.68,45.29,Berca,Buzau,BZ,4000,Sud-Est
26.81,45.32,Blajani,Buzau,BZ,1085,Sud-Est
26.9,45.5,Buda,Buzau,BZ,1327,Sud-Est
26.32,45.25,Bascenii_de_Jos,Buzau,BZ,1830,Sud-Est
26.27,45.27,Bascenii_de_Sus,Buzau,BZ,1008,Sud-Est
26.25,45.32,Corbu,Buzau,BZ,1036,Sud-Est
26.76,45.26,Cernatesti,Buzau,BZ,1224,Sud-Est
26.76,45.28,Zarnestii_de_Slanic,Buzau,BZ,1333,Sud-Est
26.22,45.35,Chiojdu,Buzau,BZ,1128,Sud-Est
26.38,45.24,Cislau,Buzau,BZ,2210,Sud-Est
27.04,45.21,Cochirleanca,Buzau,BZ,2722,Sud-Est
27.21,45.27,Ghergheasa,Buzau,BZ,1393,Sud-Est
27.18,45.31,Salcioara,Buzau,BZ,1277,Sud-Est
26.98,45.38,Grebanu,Buzau,BZ,2093,Sud-Est
27.01,45.38,Plevna,Buzau,BZ,1360,Sud-Est
26.43,45.49,Gura_Teghii,Buzau,BZ,1032,Sud-Est
26.4,45.46,Furtunesti,Buzau,BZ,1109,Sud-Est
26.58,45.49,Lopatari,Buzau,BZ,1230,Sud-Est
26.58,45.28,Magura,Buzau,BZ,1445,Sud-Est
26.63,45.28,Unguriu,Buzau,BZ,2329,Sud-Est
26.3,45.42,Nehoiu,Buzau,BZ,6200,Sud-Est
26.34,45.45,Basca_Rozilei,Buzau,BZ,1352,Sud-Est
26.31,45.44,Lunca_Priporului,Buzau,BZ,1443,Sud-Est
26.32,45.4,Paltineni,Buzau,BZ,1296,Sud-Est
26.36,45.32,Patarlagele,Buzau,BZ,2667,Sud-Est
26.35,45.29,Maruntisu,Buzau,BZ,1156,Sud-Est
26.55,45.29,Parscov,Buzau,BZ,3241,Sud-Est
27.01,45.47,Cotatcu,Buzau,BZ,1489,Sud-Est
26.87,45.23,Posta_Calnau,Buzau,BZ,2265,Sud-Est
26.87,45.27,Suditi,Buzau,BZ,1458,Sud-Est
27.22,45.4,Puiestii_de_Jos,Buzau,BZ,1515,Sud-Est
27.11,45.36,Ramnicelu,Buzau,BZ,2880,Sud-Est
26.75,45.23,Sapoca,Buzau,BZ,1692,Sud-Est
26.76,45.21,Matesti,Buzau,BZ,1445,Sud-Est
26.26,45.48,Lunca_Jaristei,Buzau,BZ,1163,Sud-Est
26.26,45.48,Casoca,Buzau,BZ,1095,Sud-Est
26.63,45.21,Grajdana,Buzau,BZ,1008,Sud-Est
27.01,45.4,Topliceni,Buzau,BZ,1148,Sud-Est
26.98,45.45,Babeni,Buzau,BZ,1130,Sud-Est
26.97,45.47,Dedulesti,Buzau,BZ,1076,Sud-Est
27.04,45.36,Valea_Ramnicului,Buzau,BZ,1984,Sud-Est
27.02,45.37,Oreavul,Buzau,BZ,2325,Sud-Est
27.08,45.35,Rubla,Buzau,BZ,1219,Sud-Est
26.73,45.21,Vernesti,Buzau,BZ,1826,Sud-Est
26.7,45.25,Candesti,Buzau,BZ,2876,Sud-Est
26.73,45.47,Vintila_Voda,Buzau,BZ,1187,Sud-Est
26.88,45.29,Fundeni,Buzau,BZ,2443,Sud-Est
26.88,45.32,Vadu_Soresti,Buzau,BZ,1547,Sud-Est
26.87,45.3,Zarnesti,Buzau,BZ,1299,Sud-Est
26.28,45.76,Comandau,Covasna,CV,1120,Centru
26.3,46.04,Bretcu,Covasna,CV,2840,Centru
26.23,45.94,Ghelinta,Covasna,CV,4380,Centru
26.27,46.07,Lemnia,Covasna,CV,2145,Centru
26.26,45.99,Ojdula,Covasna,CV,3262,Centru
27.18,45.7,Focsani,Vrancea,VN,100007,Sud-Est
27.13,45.71,Campineanca,Vrancea,VN,2155,Sud-Est
27.17,45.66,Golesti,Vrancea,VN,1736,Sud-Est
27.17,45.67,Ceardac,Vrancea,VN,1288,Sud-Est
27.18,46.1,Adjud,Vrancea,VN,17554,Sud-Est
27.19,46.13,Adjudu_Vechi,Vrancea,VN,1508,Sud-Est
27.22,45.88,Marasesti,Vrancea,VN,10434,Sud-Est
27.07,45.76,Odobesti,Vrancea,VN,7066,Sud-Est
27.11,45.74,Unirea,Vrancea,VN,1506,Sud-Est
27.09,45.91,Panciu,Vrancea,VN,6441,Sud-Est
26.74,45.91,Barsesti,Vrancea,VN,1033,Sud-Est
26.71,45.94,Negrilesti,Vrancea,VN,2166,Sud-Est
27.06,45.86,Gagesti,Vrancea,VN,1492,Sud-Est
27.04,45.56,Bordesti,Vrancea,VN,1293,Sud-Est
26.79,46.02,Campuri,Vrancea,VN,2272,Sud-Est
27.08,45.67,Carligele,Vrancea,VN,1147,Sud-Est
27.07,45.64,Cotesti,Vrancea,VN,1734,Sud-Est
27.06,45.63,Budesti,Vrancea,VN,1841,Sud-Est
27.11,45.55,Dumbraveni,Vrancea,VN,1672,Sud-Est
27.08,45.54,Candesti,Vrancea,VN,1328,Sud-Est
27.06,45.98,Fitionesti,Vrancea,VN,1907,Sud-Est
27.14,45.57,Gugesti,Vrancea,VN,5611,Sud-Est
27.03,45.58,Gura_Calitei,Vrancea,VN,1092,Sud-Est
27.06,45.79,Jaristea,Vrancea,VN,2903,Sud-Est
26.94,45.76,Mera,Vrancea,VN,1424,Sud-Est
26.91,45.77,Vulcaneasa,Vrancea,VN,1101,Sud-Est
27.11,45.96,Movilita,Vrancea,VN,2494,Sud-Est
26.78,45.83,Naruja,Vrancea,VN,1029,Sud-Est
26.72,45.71,Nereju,Vrancea,VN,1299,Sud-Est
26.7,45.71,Nereju_Mic,Vrancea,VN,1531,Sud-Est
26.72,45.78,Paltin,Vrancea,VN,1319,Sud-Est
27.11,46.03,Paunesti,Vrancea,VN,5909,Sud-Est
27.1,46.05,Viisoara,Vrancea,VN,1010,Sud-Est
27.21,46,Pufesti,Vrancea,VN,1521,Sud-Est
27.22,45.99,Ciorani,Vrancea,VN,1077,Sud-Est
27.2,46.03,Domnesti-Targ,Vrancea,VN,1140,Sud-Est
26.88,45.99,Racoasa,Vrancea,VN,1297,Sud-Est
26.88,45.79,Sindrilari,Vrancea,VN,1338,Sud-Est
27.13,46.07,Ruginesti,Vrancea,VN,1700,Sud-Est
27.06,46.08,Anghelesti,Vrancea,VN,1249,Sud-Est
27.13,45.5,Sihlea,Vrancea,VN,2245,Sud-Est
27.2,45.51,Bogza,Vrancea,VN,1116,Sud-Est
27.15,45.44,Voetin,Vrancea,VN,1305,Sud-Est
27.06,45.49,Slobozia_Bradului,Vrancea,VN,1083,Sud-Est
27.05,45.5,Cornetu,Vrancea,VN,1839,Sud-Est
27.21,45.62,Slobozia_Ciorasti,Vrancea,VN,1382,Sud-Est
26.65,46,Dragosloveni,Vrancea,VN,1726,Sud-Est
26.65,45.99,Rucareni,Vrancea,VN,1299,Sud-Est
27.05,45.93,Straoane,Vrancea,VN,2709,Sud-Est
27.05,45.51,Tamboesti,Vrancea,VN,1098,Sud-Est
27.09,45.5,Obrejita,Vrancea,VN,1351,Sud-Est
26.68,45.92,Tulnici,Vrancea,VN,2477,Sud-Est
26.69,45.89,Paulesti,Vrancea,VN,1344,Sud-Est
27.08,45.86,Tifesti,Vrancea,VN,1062,Sud-Est
27.18,45.82,Igesti,Vrancea,VN,1129,Sud-Est
27.1,45.85,Olesesti,Vrancea,VN,1001,Sud-Est
27.07,45.6,Urechesti,Vrancea,VN,2710,Sud-Est
27.08,45.6,Popesti,Vrancea,VN,2575,Sud-Est
26.91,45.91,Vidra,Vrancea,VN,1954,Sud-Est
26.95,45.91,Burca,Vrancea,VN,1434,Sud-Est
26.94,45.93,Iresti,Vrancea,VN,1100,Sud-Est
26.78,45.99,Vizantea_Manastireasca,Vrancea,VN,1658,Sud-Est
27.09,45.73,Vartescoiu,Vrancea,VN,1216,Sud-Est
